275, 4683469, 5286928, 5768522, 5667862, 4331142, 3581911, 3599798, 2819962, 4309560, 3847072, 3655215, 3963107, 5412935, 3920608, 4429639, 3892361, 4677704, 4937783, 4076067
280, 4146395, 5367059, 4161502, 4995582, 4476241, 4358102, 4569864, 3631998, 4908189, 3857482, 5310565, 5269718, 5619320, 3370939, 4468807, 5632742, 4347770, 4433780, 4057961
285, 3917835, 2737315, 4029745, 3607853, 5258207, 6502842, 3918232, 4833133, 4064900, 5071172, 3958106, 4016624, 5873232, 5514882, 4479366, 19684219, 7327854, 6769130, 14888581
290, 5205899, 4230077, 3971532, 3673635, 5467365, 3834967, 4308497, 4610594, 4331321, 3292638, 4361368, 5034519, 4463682, 4545813, 4777419, 6394827, 4526745, 4449543, 5721678
295, 5873613, 5268537, 4936058, 4968309, 3667296, 5960034, 5252339, 4513931, 5063441, 5115037, 4159144, 4789772, 3771829, 4030606, 3842620, 5186383, 5330878, 5282056, 5198285
300, 4205166, 4565088, 3927555, 4513484, 4142862, 4085124, 4182552, 4459892, 4811716, 5234622, 4338507, 5779474, 4110047, 4336991, 5256672, 4428444, 3905263, 5453400, 4372103
305, 4606960, 4933136, 6487346, 6614540, 5539020, 4763952, 5276410, 7244333, 5494532, 5224692, 5114553, 4202492, 6138444, 4326255, 6956504, 4751006, 4086498, 4178922, 4950876
310, 5755518, 4375628, 4758198, 5880790, 5295936, 5135110, 4703688, 5248464, 6075329, 4566337, 4999654, 6219176, 5465755, 7181994, 5441927, 6116528, 5840346, 5644028, 6636773
315, 4250254, 3324602, 4676018, 4002735, 4965726, 5271131, 4189422, 4614132, 6514840, 4398856, 5434265, 4396301, 5561411, 5963196, 5456838, 4388008, 5202055, 5650346, 6016300
320, 5109970, 4757064, 4882499, 5515260, 5097669, 4727526, 5190190, 5473606, 4514049, 5448672, 5132528, 5108527, 5576131, 4118031, 4731376, 4609208, 3954565, 4507677, 5116216
325, 6035832, 7886554, 5106017, 5262133, 3671552, 6488637, 4902874, 6514811, 5376990, 5680141, 5792637, 5190101, 4686358, 4994021, 5495787, 5572879, 5161336, 4906203, 6671008
330, 6499238, 5900743, 5667645, 4717068, 4095574, 3970714, 5483401, 6458877, 6551134, 5598003, 5169740, 6262154, 4812816, 5037780, 4155203, 4804459, 5227783, 6437646, 4683902
335, 8006556, 4565708, 5847697, 6246657, 6172198, 5863378, 5411779, 4818213, 5070707, 5508885, 4294251, 5535129, 4602892, 4127071, 5612981, 4894445, 6281214, 4706353, 4976228
340, 5804458, 7173168, 9934870, 6984422, 5037387, 5004894, 4854105, 4307317, 4737564, 6186188, 6292773, 7375984, 4894672, 6802574, 5359469, 7247932, 8352595, 6023835, 5243487
345, 6164895, 6819975, 7277699, 5160543, 5174088, 5189338, 5360265, 5586342, 4626817, 6681543, 7818023, 6082637, 6283109, 5144197, 7456740, 5925855, 6056824, 6167677, 4816157
350, 5850325, 5432277, 4967321, 5188928, 5429084, 7008809, 5397586, 5549133, 4834096, 5252528, 5662755, 6982154, 7402175, 5360372, 5609319, 5028405, 5571627, 5674787, 6949690
355, 5778047, 7465415, 5641549, 5617224, 5420907, 7871498, 5167827, 6080510, 5912582, 4167509, 5409748, 6649719, 9742369, 6167602, 6460469, 5507197, 4986232, 5894769, 5015831
360, 5931031, 6637685, 8439368, 5670570, 5089242, 5444477, 5428464, 4849787, 7108516, 5038991, 6420691, 5589996, 5322231, 5412369, 5413430, 4855605, 5218776, 5911638, 4540239
365, 8108855, 5166505, 5940817, 5230977, 6500377, 7419140, 5117883, 7320461, 6145763, 6294967, 7758990, 5010808, 4996464, 5433105, 4941769, 5322437, 7910103, 5607529, 6015692
370, 7710827, 7633307, 5130494, 5563229, 6098822, 5102730, 5170933, 5332927, 5841560, 6706293, 5483641, 5566764, 6867808, 5956516, 7447419, 5303138, 6884434, 7310031, 5311074
