cmapSize, cmapNo, bufferSize, decayFactor, rebuildThreshold, ed, mem
10, 3, 10, 0.2, 0.3, 0.10172867856045074, 2952
10, 3, 10, 0.2, 0.5, 0.2713090209258545, 2952
10, 3, 10, 0.2, 0.7, 0.2713090209258545, 2952
10, 3, 10, 0.5, 0.01, 0.0887139809192846, 2952
10, 3, 10, 0.5, 0.09, 0.08231968665448172, 2952
10, 3, 10, 0.5, 0.3, 0.1068403861544432, 2952
10, 3, 10, 0.5, 0.5, 0.2713090209258545, 2952
10, 3, 10, 0.5, 0.7, 0.2713090209258545, 2952
10, 3, 10, 1.0, 0.01, 0.08344223554046133, 2952
10, 3, 10, 1.0, 0.09, 0.08554106361879646, 2952
10, 3, 10, 1.0, 0.3, 0.10194732043997219, 2952
10, 3, 10, 1.0, 0.5, 0.2713090209258545, 2952
10, 3, 10, 1.0, 0.7, 0.2713090209258545, 2952
10, 3, 10, 2.0, 0.01, 0.0645847464488249, 2952
10, 3, 10, 2.0, 0.09, 0.06400582641322623, 2952
10, 3, 10, 2.0, 0.3, 0.09761447107564251, 2952
10, 3, 10, 2.0, 0.5, 0.2713090209258545, 2952
10, 3, 10, 2.0, 0.7, 0.2713090209258545, 2952
10, 3, 10, 2.5, 0.01, 0.06454287786098187, 2952
10, 3, 10, 2.5, 0.09, 0.0646718150284101, 2952
10, 3, 10, 2.5, 0.3, 0.0670533011618889, 2952
10, 3, 10, 2.5, 0.5, 0.2713090209258545, 2952
10, 3, 10, 2.5, 0.7, 0.2713090209258545, 2952
10, 3, 30, 0.2, 0.01, 0.08576219398048968, 2952
10, 3, 30, 0.2, 0.09, 0.08549419713045271, 2952
10, 3, 30, 0.2, 0.3, 0.09698857269029053, 2952
10, 3, 30, 0.2, 0.5, 0.2713090209258545, 2952
10, 3, 30, 0.2, 0.7, 0.2713090209258545, 2952
10, 3, 30, 0.5, 0.01, 0.07783865425495856, 2952
10, 3, 30, 0.5, 0.09, 0.07757989654317443, 2952
10, 3, 30, 0.5, 0.3, 0.08120000831423481, 2952
10, 3, 30, 0.5, 0.5, 0.2713090209258545, 2952
10, 3, 30, 0.5, 0.7, 0.2713090209258545, 2952
10, 3, 30, 1.0, 0.01, 0.07232175399838733, 2952
10, 3, 30, 1.0, 0.09, 0.07089738323084817, 2952
10, 3, 30, 1.0, 0.3, 0.059505838606409615, 2952
10, 3, 30, 1.0, 0.5, 0.2713090209258545, 2952
10, 3, 30, 1.0, 0.7, 0.2713090209258545, 2952
10, 3, 30, 2.0, 0.01, 0.04845301796529865, 2952
10, 3, 30, 2.0, 0.09, 0.04799955650239227, 2952
10, 3, 30, 2.0, 0.3, 0.029915503824626155, 2952
10, 3, 30, 2.0, 0.5, 0.2713090209258545, 2952
10, 3, 30, 2.0, 0.7, 0.2713090209258545, 2952
10, 3, 30, 2.5, 0.01, 0.04505712761909578, 2952
10, 3, 30, 2.5, 0.09, 0.04477313874999, 2952
10, 3, 30, 2.5, 0.3, 0.022084725399881208, 2952
10, 3, 30, 2.5, 0.5, 0.2713090209258545, 2952
10, 3, 30, 2.5, 0.7, 0.2713090209258545, 2952
10, 3, 70, 0.2, 0.01, 0.06391160409906205, 2952
10, 3, 70, 0.2, 0.09, 0.05849188022521623, 2952
10, 3, 70, 0.2, 0.3, 0.09181305197605658, 2952
10, 3, 70, 0.2, 0.5, 0.2713090209258545, 2952
10, 3, 70, 0.2, 0.7, 0.2713090209258545, 2952
10, 3, 70, 0.5, 0.01, 0.062185363536843834, 2952
10, 3, 70, 0.5, 0.09, 0.06010728864187219, 2952
10, 3, 70, 0.5, 0.3, 0.07634006330883378, 2952
10, 3, 70, 0.5, 0.5, 0.2713090209258545, 2952
10, 3, 70, 0.5, 0.7, 0.2713090209258545, 2952
10, 3, 70, 1.0, 0.01, 0.051822889097021145, 2952
10, 3, 70, 1.0, 0.09, 0.04163050402347293, 2952
10, 3, 70, 1.0, 0.3, 0.056695524918172174, 2952
10, 3, 70, 1.0, 0.5, 0.2713090209258545, 2952
10, 3, 70, 1.0, 0.7, 0.2713090209258545, 2952
