cmapSize, cmapNo, bufferSize, decayFactor, rebuildThreshold, ed, mem
10, 2, 30, 2.5, 0.09, 0.058754196614026866, 1992
10, 2, 30, 2.5, 0.3, 0.11329956986580823, 1992
10, 2, 30, 2.5, 0.5, 0.17550815365932185, 1992
10, 2, 30, 2.5, 0.7, 0.4753831706049677, 1992
10, 2, 70, 0.2, 0.01, 0.11568012770063979, 1992
10, 2, 70, 0.2, 0.09, 0.11568012770063979, 1992
10, 2, 70, 0.2, 0.3, 0.21878279237957793, 1992
10, 2, 70, 0.2, 0.5, 0.43451716819451064, 1992
10, 2, 70, 0.2, 0.7, 0.5598407644113593, 1992
10, 2, 70, 0.5, 0.01, 0.1094078389165738, 1992
10, 2, 70, 0.5, 0.09, 0.1094078389165738, 1992
10, 2, 70, 0.5, 0.3, 0.22298030888973097, 1992
10, 2, 70, 0.5, 0.5, 0.41492445472332534, 1992
10, 2, 70, 0.5, 0.7, 0.5496031094030807, 1992
10, 2, 70, 1.0, 0.01, 0.0969884121652143, 1992
10, 2, 70, 1.0, 0.09, 0.0969884121652143, 1992
10, 2, 70, 1.0, 0.3, 0.20018721110395518, 1992
10, 2, 70, 1.0, 0.5, 0.3923461910259399, 1992
10, 2, 70, 1.0, 0.7, 0.5306901534764672, 1992
10, 2, 70, 2.0, 0.01, 0.10075474347994581, 1992
10, 2, 70, 2.0, 0.09, 0.10075474347994581, 1992
10, 2, 70, 2.0, 0.3, 0.17301320596706293, 1992
10, 2, 70, 2.0, 0.5, 0.2502013599086083, 1992
10, 2, 70, 2.0, 0.7, 0.4698618845597498, 1992
10, 2, 70, 2.5, 0.01, 0.10335524033256176, 1992
10, 2, 70, 2.5, 0.09, 0.10335524033256176, 1992
10, 2, 70, 2.5, 0.3, 0.18124440503911873, 1992
10, 2, 70, 2.5, 0.5, 0.2338653330794117, 1992
10, 2, 70, 2.5, 0.7, 0.4405719344346956, 1992
10, 2, 120, 0.2, 0.01, 0.2461132142414834, 1992
10, 2, 120, 0.2, 0.09, 0.2461132142414834, 1992
10, 2, 120, 0.2, 0.3, 0.31555447133057246, 1992
10, 2, 120, 0.2, 0.5, 0.49460566042277, 1992
10, 2, 120, 0.2, 0.7, 0.5297071383907329, 1992
10, 2, 120, 0.5, 0.01, 0.23076876443417063, 1992
10, 2, 120, 0.5, 0.09, 0.23076876443417063, 1992
10, 2, 120, 0.5, 0.3, 0.27509468536124093, 1992
10, 2, 120, 0.5, 0.5, 0.46084894783896024, 1992
10, 2, 120, 0.5, 0.7, 0.5297071383907329, 1992
10, 2, 120, 1.0, 0.01, 0.22242054455020607, 1992
10, 2, 120, 1.0, 0.09, 0.22242054455020607, 1992
10, 2, 120, 1.0, 0.3, 0.29698724793281833, 1992
10, 2, 120, 1.0, 0.5, 0.39397779494489377, 1992
10, 2, 120, 1.0, 0.7, 0.5297071383907329, 1992
10, 2, 120, 2.0, 0.01, 0.22627872559835854, 1992
10, 2, 120, 2.0, 0.09, 0.22627872559835854, 1992
10, 2, 120, 2.0, 0.3, 0.3068455151540162, 1992
10, 2, 120, 2.0, 0.5, 0.26527875626613545, 1992
10, 2, 120, 2.0, 0.7, 0.5297071383907329, 1992
10, 2, 120, 2.5, 0.01, 0.21926332253896505, 1992
10, 2, 120, 2.5, 0.09, 0.21926332253896505, 1992
10, 2, 120, 2.5, 0.3, 0.24033394863276977, 1992
10, 2, 120, 2.5, 0.5, 0.23010180813305348, 1992
10, 2, 120, 2.5, 0.7, 0.5297071383907329, 1992
10, 2, 150, 0.2, 0.01, 0.27530448523432455, 1992
10, 2, 150, 0.2, 0.09, 0.27530448523432455, 1992
10, 2, 150, 0.2, 0.3, 0.2872448249446533, 1992
10, 2, 150, 0.2, 0.5, 0.6069451989566498, 1992
10, 2, 150, 0.2, 0.7, 0.5297071383907329, 1992
10, 2, 150, 0.5, 0.01, 0.25786299631394743, 1992
10, 2, 150, 0.5, 0.09, 0.25786299631394743, 1992
10, 2, 150, 0.5, 0.3, 0.26837502333697816, 1992
10, 2, 150, 0.5, 0.5, 0.5607303841532748, 1992
10, 2, 150, 0.5, 0.7, 0.5297071383907329, 1992
10, 2, 150, 1.0, 0.01, 0.24077513949548632, 1992
10, 2, 150, 1.0, 0.09, 0.24077513949548632, 1992
10, 2, 150, 1.0, 0.3, 0.25017656738994054, 1992
10, 2, 150, 1.0, 0.5, 0.44787313716274, 1992
10, 2, 150, 1.0, 0.7, 0.5297071383907329, 1992
10, 2, 150, 2.0, 0.01, 0.2729906005348964, 1992
10, 2, 150, 2.0, 0.09, 0.2729906005348964, 1992
10, 2, 150, 2.0, 0.3, 0.24398523819784254, 1992
10, 2, 150, 2.0, 0.5, 0.3375349300080869, 1992
10, 2, 150, 2.0, 0.7, 0.5297071383907329, 1992
10, 2, 150, 2.5, 0.01, 0.2566509407070574, 1992
10, 2, 150, 2.5, 0.09, 0.2566509407070574, 1992
10, 2, 150, 2.5, 0.3, 0.25743869767926447, 1992
10, 2, 150, 2.5, 0.5, 0.2960875409529731, 1992
10, 2, 150, 2.5, 0.7, 0.5297071383907329, 1992
10, 3, 10, 0.2, 0.01, 0.08341376147781503, 2952
10, 3, 10, 0.2, 0.09, 0.08034368789198154, 2952
10, 3, 10, 0.2, 0.3, 0.10106185659048476, 2952
10, 3, 10, 0.2, 0.5, 0.31167018631511195, 2952
10, 3, 10, 0.2, 0.7, 0.5504834784144331, 2952
10, 3, 10, 0.5, 0.01, 0.07907855627165768, 2952
10, 3, 10, 0.5, 0.09, 0.07537422478996184, 2952
10, 3, 10, 0.5, 0.3, 0.09784169333498598, 2952
10, 3, 10, 0.5, 0.5, 0.3057624404560813, 2952
10, 3, 10, 0.5, 0.7, 0.5427020141667831, 2952
10, 3, 10, 1.0, 0.01, 0.06659681165528468, 2952
10, 3, 10, 1.0, 0.09, 0.06594858568708074, 2952
10, 3, 10, 1.0, 0.3, 0.08835664621988217, 2952
10, 3, 10, 1.0, 0.5, 0.23877674526653678, 2952
10, 3, 10, 1.0, 0.7, 0.45431338663159215, 2952
10, 3, 10, 2.0, 0.01, 0.06228843701670366, 2952
10, 3, 10, 2.0, 0.09, 0.06196354343640249, 2952
10, 3, 10, 2.0, 0.3, 0.06438636543507036, 2952
10, 3, 10, 2.0, 0.5, 0.14611571967327616, 2952
10, 3, 10, 2.0, 0.7, 0.3202713980947683, 2952
10, 3, 10, 2.5, 0.01, 0.06417996869228511, 2952
10, 3, 10, 2.5, 0.09, 0.06390734048905293, 2952
10, 3, 10, 2.5, 0.3, 0.0605061250487019, 2952
10, 3, 10, 2.5, 0.5, 0.12464219318044001, 2952
10, 3, 10, 2.5, 0.7, 0.2667520967544442, 2952
10, 3, 30, 0.2, 0.01, 0.0783966353746655, 2952
10, 3, 30, 0.2, 0.09, 0.08936773154604781, 2952
10, 3, 30, 0.2, 0.3, 0.25976929534130366, 2952
10, 3, 30, 0.2, 0.5, 0.39630565037328197, 2952
10, 3, 30, 0.2, 0.7, 0.5766832455308303, 2952
10, 3, 30, 0.5, 0.01, 0.07040947607122888, 2952
10, 3, 30, 0.5, 0.09, 0.07914004179729285, 2952
10, 3, 30, 0.5, 0.3, 0.20735475253000432, 2952
10, 3, 30, 0.5, 0.5, 0.3387610712808721, 2952
10, 3, 30, 0.5, 0.7, 0.564208904261876, 2952
10, 3, 30, 1.0, 0.01, 0.061852953372133444, 2952
10, 3, 30, 1.0, 0.09, 0.06660814948839694, 2952
10, 3, 30, 1.0, 0.3, 0.16008443833675357, 2952
